,法院名称,上诉法院,级别
278,海南一中级人民法院,海南高级人民法院,中级
279,海南二中级人民法院,海南高级人民法院,中级
280,海口海事人民法院,海南高级人民法院,中级
281,三沙市中级人民法院,海南高级人民法院,中级
282,重庆一中级人民法院,重庆高级人民法院,中级
283,重庆二中级人民法院,重庆高级人民法院,中级
284,重庆三中级人民法院,重庆高级人民法院,中级
285,重庆四中级人民法院,重庆高级人民法院,中级
286,重庆五中级人民法院,重庆高级人民法院,中级
287,重庆铁路人民法院,重庆高级人民法院,中级
288,成都市中级人民法院,四川高级人民法院,中级
289,自贡市中级人民法院,四川高级人民法院,中级
290,攀枝花市中级人民法院,四川高级人民法院,中级
291,泸州市中级人民法院,四川高级人民法院,中级
292,德阳市中级人民法院,四川高级人民法院,中级
293,绵阳市中级人民法院,四川高级人民法院,中级
294,广元市中级人民法院,四川高级人民法院,中级
295,遂宁市中级人民法院,四川高级人民法院,中级
296,内江市中级人民法院,四川高级人民法院,中级
297,乐山市中级人民法院,四川高级人民法院,中级
298,南充市中级人民法院,四川高级人民法院,中级
299,眉山市中级人民法院,四川高级人民法院,中级
300,宜宾市中级人民法院,四川高级人民法院,中级
301,广安市中级人民法院,四川高级人民法院,中级
302,达州市中级人民法院,四川高级人民法院,中级
303,雅安市中级人民法院,四川高级人民法院,中级
304,巴中市中级人民法院,四川高级人民法院,中级
305,资阳市中级人民法院,四川高级人民法院,中级
306,阿坝州中级人民法院,四川高级人民法院,中级
307,甘孜州中级人民法院,四川高级人民法院,中级
308,凉山州中级人民法院,四川高级人民法院,中级
309,成都铁路中级人民法院,四川高级人民法院,中级
310,贵阳市中级人民法院,贵州高级人民法院,中级
311,六盘水市中级人民法院,贵州高级人民法院,中级
312,遵义市中级人民法院,贵州高级人民法院,中级
313,安顺市中级人民法院,贵州高级人民法院,中级
314,铜仁市中级人民法院,贵州高级人民法院,中级
315,黔西南州中级人民法院,贵州高级人民法院,中级
316,毕节市中级人民法院,贵州高级人民法院,中级
317,黔东南州中级人民法院,贵州高级人民法院,中级
318,黔南州中级人民法院,贵州高级人民法院,中级
319,贵阳铁路运输人民法院,贵州高级人民法院,中级
320,昆明市中级人民法院,云南高级人民法院,中级
321,曲靖市中级人民法院,云南高级人民法院,中级
322,玉溪市中级人民法院,云南高级人民法院,中级
323,保山市中级人民法院,云南高级人民法院,中级
324,昭通市中级人民法院,云南高级人民法院,中级
325,丽江市中级人民法院,云南高级人民法院,中级
326,普洱市中级人民法院,云南高级人民法院,中级
327,临沧市中级人民法院,云南高级人民法院,中级
328,楚雄州中级人民法院,云南高级人民法院,中级
329,红河州中级人民法院,云南高级人民法院,中级
330,文山州中级人民法院,云南高级人民法院,中级
331,西双版纳州中级人民法院,云南高级人民法院,中级
332,大理州中级人民法院,云南高级人民法院,中级
333,德宏州中级人民法院,云南高级人民法院,中级
334,怒江州中级人民法院,云南高级人民法院,中级
335,迪庆州中级人民法院,云南高级人民法院,中级
336,昆明铁路中级人民法院,云南高级人民法院,中级
337,拉萨市中级人民法院,西藏高级人民法院,中级
338,昌都市中级人民法院,西藏高级人民法院,中级
339,山南市中级人民法院,西藏高级人民法院,中级
340,日喀则市中级人民法院,西藏高级人民法院,中级
341,那曲市中级人民法院,西藏高级人民法院,中级
342,阿里地区中级人民法院,西藏高级人民法院,中级
343,林芝市中级人民法院,西藏高级人民法院,中级
344,西安市中级人民法院,陕西高级人民法院,中级
345,铜川市中级人民法院,陕西高级人民法院,中级
346,宝鸡市中级人民法院,陕西高级人民法院,中级
347,咸阳市中级人民法院,陕西高级人民法院,中级
348,渭南市中级人民法院,陕西高级人民法院,中级
349,延安市中级人民法院,陕西高级人民法院,中级
350,汉中市中级人民法院,陕西高级人民法院,中级
351,榆林市中级人民法院,陕西高级人民法院,中级
352,安康市中级人民法院,陕西高级人民法院,中级
353,商洛市中级人民法院,陕西高级人民法院,中级
354,西安铁路中级人民法院,陕西高级人民法院,中级
355,兰州市中级人民法院,甘肃高级人民法院,中级
356,嘉峪关市人民法院,甘肃高级人民法院,中级
357,金昌中级人民法院,甘肃高级人民法院,中级
358,白银中级人民法院,甘肃高级人民法院,中级
359,天水中级人民法院,甘肃高级人民法院,中级
360,武威中级人民法院,甘肃高级人民法院,中级
361,张掖市中级人民法院,甘肃高级人民法院,中级
362,平凉中级人民法院,甘肃高级人民法院,中级
363,酒泉市中级人民法院,甘肃高级人民法院,中级
364,庆阳市中级人民法院,甘肃高级人民法院,中级
365,定西市中级人民法院,甘肃高级人民法院,中级
366,陇南市中级人民法院,甘肃高级人民法院,中级
367,临夏州中级人民法院,甘肃高级人民法院,中级
368,甘南州中级人民法院,甘肃高级人民法院,中级
369,林区中级人民法院,甘肃高级人民法院,中级
370,兰州铁路中级人民法院,甘肃高级人民法院,中级
371,甘肃矿区人民法院,甘肃高级人民法院,中级
372,西宁市中级人民法院,青海高级人民法院,中级
373,海东市中级人民法院,青海高级人民法院,中级
374,海北州中级人民法院,青海高级人民法院,中级
375,黄南州中级人民法院,青海高级人民法院,中级
376,海南州中级人民法院,青海高级人民法院,中级
377,果洛州中级人民法院,青海高级人民法院,中级
378,玉树州中级人民法院,青海高级人民法院,中级
379,海西州中级人民法院,青海高级人民法院,中级
380,西宁铁路运输人民法院,青海高级人民法院,中级
381,银川市中级人民法院,宁夏高级人民法院,中级
382,石嘴山市中级人民法院,宁夏高级人民法院,中级
383,吴忠市中级人民法院,宁夏高级人民法院,中级
384,固原市中级人民法院,宁夏高级人民法院,中级
385,中卫市中级人民法院,宁夏高级人民法院,中级
386,银川铁路运输人民法院,宁夏高级人民法院,中级
387,乌鲁木齐市中级人民法院,新疆高级人民法院,中级
388,克拉玛依市中级人民法院,新疆高级人民法院,中级
389,吐鲁番市中级人民法院,新疆高级人民法院,中级
390,哈密地区中级人民法院,新疆高级人民法院,中级
391,昌吉州中级人民法院,新疆高级人民法院,中级
392,博尔塔拉蒙古自治州中级人民法院,新疆高级人民法院,中级
393,巴音郭楞蒙古自治州中级人民法院,新疆高级人民法院,中级
394,阿克苏地区中级人民法院,新疆高级人民法院,中级
395,克孜勒苏柯尔克孜州中级人民法院,新疆高级人民法院,中级
396,喀什地区中级人民法院,新疆高级人民法院,中级
397,和田地区中级人民法院,新疆高级人民法院,中级
398,伊犁哈萨克自治州分院,新疆高级人民法院,中级
399,塔城地区中级人民法院,新疆高级人民法院,中级
400,阿勒泰地区中级人民法院,新疆高级人民法院,中级
401,乌鲁木齐铁路中级人民法院,新疆高级人民法院,中级
402,第一师中级人民法院,新疆兵团分院,中级
403,第二师中级人民法院,新疆兵团分院,中级
404,第三师中级人民法院,新疆兵团分院,中级
405,第四师中级人民法院,新疆兵团分院,中级
406,第五师中级人民法院,新疆兵团分院,中级
407,第六师中级人民法院,新疆兵团分院,中级
408,第七师中级人民法院,新疆兵团分院,中级
409,第八师中级人民法院,新疆兵团分院,中级
410,第九师中级人民法院,新疆兵团分院,中级
411,第十师中级人民法院,新疆兵团分院,中级
412,第十二师中级人民法院,新疆兵团分院,中级
413,第十三师中级人民法院,新疆兵团分院,中级
414,第十四师中级人民法院,新疆兵团分院,中级
